date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:02	20186/20186	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2013:46:04%20GMT	https://duruthemes.com/demo/html/betty/multipage/index.html	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/index.html	(from )
23:49:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20May%202023%2006:49:03%20GMT	https://duruthemes.com/robots.txt		(from )
23:49:03	272/272	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Mar%202023%2013:46:08%20GMT	https://duruthemes.com/demo/html/betty/multipage/images/favicon.png	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/images/favicon.png	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:03	71552/71552	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:06%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/animate.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/animate.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:03	6099/6099	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:06%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/et-lineicons.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/et-lineicons.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:04	16402/16402	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:06%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/themify-icons.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/themify-icons.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:04	194652/194652	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:06%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/bootstrap.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/bootstrap.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:04	3359/3359	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:07%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/flaticon.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/flaticon.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:05	7782/7782	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:05%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/magnific-popup.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/magnific-popup.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
23:49:05	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2013:46:06%20GMT	https://duruthemes.com/demo/html/betty/multipage/css/owl.carousel.min.css	C:/My%20Web%20Sites/beauty/duruthemes.com/demo/html/betty/multipage/css/owl.carousel.min.css	(from https://duruthemes.com/demo/html/betty/multipage/index.html)
